Title,Ranking,Genre,Actors,Runtime
Better Call Saul,8.9,"Crime, Drama","Bob Odenkirk, Jonathan Banks, Rhea Seehorn",47
The Simpsons,8.9,"Animation, Comedy","Dan Castellaneta, Nancy Cartwright, Julie Kavner",22
Shingeki no kyojin,8.9,"Animation, Action, Adventure, Drama, Fantasy, Horror","Marina Inoue, Yuki Kaji, Josh Grelle",24
Daredevil,8.9,"Action, Crime, Drama","Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll",54
Dragon Ball Z: Doragon b&#xF4;ru zetto,8.9,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi, Thriller","Minoru Okazaki, Jôji Yanami, Masako Nozawa, Mayumi Tanaka",24
Dexter,8.9,"Crime, Drama, Mystery, Thriller","Michael C. Hall, Jennifer Carpenter, David Zayas",55
House M.D.,8.9,"Drama, Mystery","Hugh Laurie, Omar Epps, Robert Sean Leonard",44
Blackadder Goes Forth,8.9,"Comedy, War","Rowan Atkinson, Tony Robinson, Stephen Fry",175
Gravity Falls,8.8,"Animation, Adventure, Comedy, Family, Mystery","Jason Ritter, Alex Hirsch, Kristen Schaal",23
Fawlty Towers,8.8,Comedy,"John Cleese, Prunella Scales, Andrew Sachs",30
Steins;Gate,8.8,"Animation, Comedy, Drama, Romance, Sci-Fi, Thriller","Hiroshi Hamazaki, Takuya Satô, Mamoru Miyano, Asami Imai, Kana Hanazawa",24
Doctor Who,8.8,"Adventure, Drama, Family, Mystery, Sci-Fi","Peter Capaldi, Jenna Coleman, Matt Smith",45
Archer,8.8,"Animation, Action, Comedy","H. Jon Benjamin, Judy Greer, Amber Nash",22
